group,name,amount,unit
oyster,"Vitamin A, RAE",13,µg
oyster,Retinol,13,µg
oyster,"Carotene, beta",0,µg
oyster,"Carotene, alpha",0,µg
oyster,"Cryptoxanthin, beta",0,µg
oyster,Lycopene,0,µg
oyster,Lutein + zeaxanthin,0,µg
oyster,Vitamin E (alpha-tocopherol),0.85,mg
oyster,"Vitamin E, added",0,mg
oyster,Vitamin D (D2 + D3),0,µg
oyster,Vitamin K (phylloquinone),1,µg
oyster,"Fatty acids, total saturated",0.474,g
oyster,SFA 4:0,0,g
oyster,SFA 6:0,0,g
oyster,SFA 8:0,0,g
oyster,SFA 10:0,0,g
oyster,SFA 12:0,0.001,g
oyster,SFA 14:0,0.05,g
oyster,SFA 16:0,0.319,g
oyster,SFA 18:0,0.066,g
oyster,"Fatty acids, total monounsaturated",0.253,g
oyster,MUFA 16:1,0.052,g
oyster,MUFA 18:1,0.168,g
oyster,MUFA 20:1,0.028,g
oyster,MUFA 22:1,0.001,g
oyster,"Fatty acids, total polyunsaturated",0.528,g
oyster,PUFA 18:2,0.041,g
oyster,PUFA 18:3,0.084,g
oyster,PUFA 18:4,0.048,g
oyster,PUFA 20:4,0.022,g
oyster,PUFA 2:5 n-3 (EPA),0.177,g
oyster,PUFA 22:5 n-3 (DPA),0.01,g
oyster,PUFA 22:6 n-3 (DHA),0.136,g
oyster,Cholesterol,40,mg
oyster,"Alcohol, ethyl",0,g
oyster,Caffeine,0,mg
oyster,Theobromine,0,mg
abalone,Water,48.5,g
abalone,Energy,209,kcal
abalone,Protein,34,g
abalone,Total lipid (fat),1.51,g
abalone,Carbohydrate,12,g
abalone,Fiber,0,g
abalone,Sugars,0,g
abalone,Calcium (Ca),62,mg
abalone,Iron (Fe),5.72,mg
abalone,Magnesium (Mg),96,mg
abalone,Phosphorus (P),284,mg
abalone,Potassium (K),448,mg
abalone,Sodium (Na),939,mg
abalone,Zinc (Zn),1.63,mg
abalone,Copper (Cu),0.332,mg
abalone,Selenium (Se),89.2,µg
abalone,"Vitamin C, total ascorbic acid",3.2,mg
abalone,Thiamin,0.359,mg
abalone,Riboflavin,0.189,mg
abalone,Niacin,2.69,mg
abalone,Vitamin B-6,0.269,mg
abalone,"Folate, total",7,µg
abalone,Folic acid,0,µg
abalone,"Folate, food",7,µg
abalone,"Folate, DFE",7,µg
abalone,"Choline, total",129,mg
abalone,Vitamin B-12,1.31,µg
abalone,"Vitamin B-12, added",0,µg
abalone,"Vitamin A, RAE",4,µg
abalone,Retinol,4,µg
abalone,"Carotene, beta",0,µg
abalone,"Carotene, alpha",0,µg
abalone,"Cryptoxanthin, beta",0,µg
abalone,Lycopene,0,µg
abalone,Lutein + zeaxanthin,0,µg
abalone,Vitamin E (alpha-tocopherol),7.96,mg
abalone,"Vitamin E, added",0,mg
abalone,Vitamin D (D2 + D3),0,µg
abalone,Vitamin K (phylloquinone),45.8,µg
abalone,"Fatty acids, total saturated",0.297,g
abalone,SFA 4:0,0,g
abalone,SFA 6:0,0,g
abalone,SFA 8:0,0,g
abalone,SFA 10:0,0,g
abalone,SFA 12:0,0,g
abalone,SFA 14:0,0.046,g
abalone,SFA 16:0,0.205,g
abalone,SFA 18:0,0.042,g
abalone,"Fatty acids, total monounsaturated",0.213,g
abalone,MUFA 16:1,0.04,g
abalone,MUFA 18:1,0.173,g
abalone,MUFA 20:1,0,g
abalone,MUFA 22:1,0,g
abalone,"Fatty acids, total polyunsaturated",0.207,g
abalone,PUFA 18:2,0.014,g
abalone,PUFA 18:3,0,g
abalone,PUFA 18:4,0.012,g
abalone,PUFA 20:4,0,g
abalone,PUFA 2:5 n-3 (EPA),0.098,g
abalone,PUFA 22:5 n-3 (DPA),0.082,g
abalone,PUFA 22:6 n-3 (DHA),0,g
abalone,Cholesterol,169,mg
abalone,"Alcohol, ethyl",0,g
abalone,Caffeine,0,mg
abalone,Theobromine,0,mg
